"column1","column2"
"1.57E-39","7.54E-01"
" NA","2.22E-01"
"1.57E-39","6.79E-01"
" NA","3.97E-02"
"1.57E-39","8.72E-01"
" NA","9.78E-02"
"1.57E-39","9.13E-01"
" NA","2.29E-02"
"1.49E-27","8.64E-01"
" NA","1.30E-01"
"1.49E-27","8.52E-01"
" NA","4.08E-01"
"1.49E-27","7.04E-01"
" NA","2.00E-01"
"1.49E-27","3.56E-01"
" NA","2.79E-02"
"2.79E-02","5.32E-02"
" NA","9.07E-01"
"2.79E-02","3.62E-02"
" NA","7.85E-01"
"2.79E-02","2.79E-02"
" NA","7.04E-01"
"2.79E-02","8.45E-02"
" NA","7.04E-01"
"2.58E-04","3.55E-05"
" NA","6.79E-01"
"2.58E-04","3.79E-05"
" NA","3.86E-01"
"2.58E-04","2.10E-05"
" NA","1.11E-01"
"2.58E-04","4.18E-05"
" NA","7.04E-01"
"1.03E-75","7.54E-01"
" NA","3.04E-01"
"1.03E-75","6.29E-01"
" NA","9.18E-02"
"1.03E-75","7.80E-01"
" NA","8.73E-02"
"1.03E-75","9.13E-01"
" NA","7.82E-02"
"1.25E-44","7.85E-01"
" NA","2.48E-01"
"1.25E-44","6.98E-01"
" NA","1.21E-01"
"1.25E-44","8.52E-01"
" NA","7.14E-02"
"1.25E-44","9.13E-01"
" NA","7.14E-02"
